policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
random_targeting,5.0,40000,7.412188584467315e-05,2.947429992603141e-05,1.6353319520120016e-05,0.00013189045216922628,59.29750867573852,13.082655616096012,105.51236173538102
random_targeting,10.0,80000,9.771304166497332e-05,4.5544455043229174e-05,8.447550084740517e-06,0.0001869785332452061,78.17043333197866,6.758040067792414,149.5828265961649
random_targeting,20.0,160000,0.00021273827241292576,6.428497417828712e-05,8.674203827639567e-05,0.00033873450654945585,170.1906179303406,69.39363062111654,270.9876052395647
random_targeting,30.0,240000,0.0003057185785616557,7.827038346461028e-05,0.0001523114459148802,0.0004591257112084312,244.57486284932455,121.84915673190415,367.30056896674495
response_model,5.0,40000,0.0008739556384100534,0.00012649431651152882,0.0006260313337984467,0.00112187994302166,699.1645107280427,500.8250670387573,897.503954417328
response_model,10.0,80000,0.0010728050080597155,0.00013298151099061224,0.0008121660359083982,0.0013334439802110327,858.2440064477723,649.7328287267186,1066.7551841688262
response_model,20.0,160000,0.0011813972268374159,0.00013813678163722212,0.0009106541098881868,0.001452140343786645,945.1177814699327,728.5232879105494,1161.712275029316
response_model,30.0,240000,0.001185387358194833,0.00014061829195961253,0.0009097805703864542,0.0014609941460032117,948.3098865558663,727.8244563091633,1168.7953168025692
undersampled_t_lr_k5,5.0,40000,0.0007997889682484447,0.00011548142250290282,0.0005734495392593019,0.0010261283972375875,639.8311745987558,458.75963140744153,820.90271779007
undersampled_t_lr_k5,10.0,80000,0.0009471603770579629,0.00012389053833847157,0.00070433938388928,0.001189981370226646,757.7283016463704,563.471507111424,951.9850961813167
undersampled_t_lr_k5,20.0,160000,0.001048062548382069,0.00012997474994822788,0.0007933167195839431,0.0013028083771801948,838.4500387056552,634.6533756671545,1042.2467017441559
undersampled_t_lr_k5,30.0,240000,0.0010922444560319711,0.00013192401279169073,0.000833678142264256,0.0013508107697996863,873.7955648255769,666.9425138114048,1080.648615839749
