policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
random_targeting,5.0,40000,0.00039985401371274903,0.00011059838689198518,0.00018308515865623131,0.0006166228687692668,319.88321097019923,146.46812692498506,493.2982950154134
random_targeting,10.0,80000,0.0007752903449604265,0.00015734531690609455,0.00046689919068844,0.0010836814992324132,620.2322759683412,373.519352550752,866.9451993859306
random_targeting,20.0,160000,0.0015445454800567919,0.00022534898585269296,0.0011028695838328877,0.001986221376280696,1235.6363840454335,882.2956670663101,1588.977101024557
random_targeting,30.0,240000,0.0022964349823847447,0.00027867629025801543,0.0017502394901338042,0.0028426304746356854,1837.1479859077958,1400.1915921070433,2274.1043797085485
response_model,5.0,40000,0.0037474322896750424,0.00032448071791679473,0.003111461768880424,0.004383402810469661,2997.945831740034,2489.1694151043394,3506.7222483757287
response_model,10.0,80000,0.005628584113708027,0.0004232409034261458,0.004799047186208587,0.006458121041207468,4502.867290966422,3839.2377489668693,5166.496832965974
response_model,20.0,160000,0.007097144332759022,0.0004818366958426957,0.006152761762477558,0.008041526903040486,5677.715466207218,4922.209409982047,6433.221522432389
response_model,30.0,240000,0.007377871578206039,0.0004992203111498203,0.0063994177480015116,0.008356325408410565,5902.297262564831,5119.534198401209,6685.060326728452
s_learner,5.0,40000,0.004907391201224491,0.0002814030074273553,0.004355851441525617,0.005458930960923364,3925.9129609795928,3484.681153220494,4367.144768738692
s_learner,10.0,80000,0.006169007863007797,0.00038351337102826723,0.005417335468202847,0.006920680257812747,4935.206290406238,4333.8683745622775,5536.544206250198
s_learner,20.0,160000,0.007140322794773581,0.0004622085761320389,0.006234410632209246,0.008046234957337917,5712.258235818865,4987.528505767396,6436.987965870333
s_learner,30.0,240000,0.007454176788253087,0.00048343281429676056,0.006506665883286597,0.008401687693219577,5963.34143060247,5205.332706629278,6721.350154575662
t_learner,5.0,40000,0.003796013436024407,0.0002846423499414926,0.003238124681664235,0.004353902190384579,3036.8107488195255,2590.4997453313877,3483.1217523076634
t_learner,10.0,80000,0.004940901652234386,0.000366914688605267,0.004221762077169334,0.005660041227299437,3952.7213217875083,3377.409661735467,4528.032981839549
t_learner,20.0,160000,0.00591403701545471,0.0004187283534018294,0.005093344523481365,0.006734729507428055,4731.229612363768,4074.675618785092,5387.783605942444
t_learner,30.0,240000,0.006273254354185222,0.00043261525347018556,0.005425344038220992,0.007121164670149452,5018.603483348177,4340.275230576794,5696.931736119562
x_learner,5.0,40000,0.004151011689476278,0.0002848502585568166,0.003592715441717995,0.00470930793723456,3320.8093515810224,2874.1723533743957,3767.446349787648
x_learner,10.0,80000,0.0053057029797501255,0.00036383199331253645,0.004592605376434136,0.006018800583066115,4244.5623838001,3674.084301147309,4815.040466452891
x_learner,20.0,160000,0.006604343327939669,0.00042019411973016305,0.005780777986753038,0.0074279086691263,5283.474662351735,4624.622389402431,5942.32693530104
x_learner,30.0,240000,0.006908734053416422,0.0004404551200263789,0.006045457881358453,0.007772010225474391,5526.9872427331375,4836.366305086763,6217.608180379513
cvt,5.0,40000,0.0031447084422574745,0.0002635190228099034,0.002628220648308875,0.003661196236206074,2515.7667538059795,2102.5765186471,2928.956988964859
cvt,10.0,80000,0.0039055097364984227,0.0003181476413017814,0.0032819518177805637,0.004529067655216282,3124.407789198738,2625.561454224451,3623.2541241730255
cvt,20.0,160000,0.004597200718234866,0.000384810080342698,0.0038429868198752134,0.005351414616594518,3677.7605745878927,3074.3894559001706,4281.131693275614
cvt,30.0,240000,0.00527339023426695,0.00041210639464871944,0.00446567654295681,0.00608110392557709,4218.71218741356,3572.541234365448,4864.883140461672
transformed_outcome,5.0,40000,0.0041118978517806605,0.00026480391602729626,0.003592891713401991,0.00463090399015933,3289.5182814245286,2874.313370721593,3704.723192127464
transformed_outcome,10.0,80000,0.005878432324748107,0.0003613180384178961,0.005170261982484371,0.006586602667011843,4702.745859798486,4136.209585987497,5269.282133609474
transformed_outcome,20.0,160000,0.006980705491455219,0.0004507703850156595,0.006097211771527273,0.007864199211383165,5584.564393164175,4877.769417221818,6291.359369106532
transformed_outcome,30.0,240000,0.007354651142711712,0.0004820473091484065,0.00640985577793639,0.008299446507487034,5883.720914169369,5127.884622349112,6639.557205989627
r_learner,5.0,40000,0.0039184012321932405,0.00028370299461205465,0.0033623535804474525,0.0044744488839390285,3134.720985754592,2689.882864357962,3579.5591071512226
r_learner,10.0,80000,0.004906027263425719,0.0003670602961770019,0.00418660230276419,0.005625452224087248,3924.821810740575,3349.281842211352,4500.361779269799
r_learner,20.0,160000,0.006579602234416174,0.0004251975794269687,0.005746230292425707,0.007412974176406642,5263.68178753294,4596.984233940565,5930.379341125314
r_learner,30.0,240000,0.0067930128464456395,0.00044744147542436603,0.005916043669424419,0.00766998202346686,5434.410277156511,4732.834935539535,6135.985618773488
dr_learner,5.0,40000,0.004081967157454028,0.0002814173222125613,0.003530399341291704,0.0046335349736163515,3265.5737259632224,2824.3194730333635,3706.8279788930813
dr_learner,10.0,80000,0.005047958055683798,0.0003694156620165381,0.0043239166628063624,0.005771999448561233,4038.366444547038,3459.13333024509,4617.599558848987
dr_learner,20.0,160000,0.006295405354720979,0.0004307427219860111,0.005451165133025648,0.00713964557641631,5036.324283776783,4360.932106420518,5711.716461133048
dr_learner,30.0,240000,0.006649535016259451,0.0004535747676510896,0.0057605448073671925,0.00753852522515171,5319.628013007561,4608.435845893754,6030.820180121368
