base_family,policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper,selection_rank
gradient_boosting,s_learner,response_model,5.0,40000,0.0011599589115494481,0.0002783579027347978,927.9671292395585,491.50995790171294,1364.4243005774042,1
gradient_boosting,transformed_outcome,response_model,5.0,40000,0.0008047155946014674,0.00025651097859182205,643.7724756811739,241.57065193789714,1045.9742994244507,2
gradient_boosting,x_learner,response_model,5.0,40000,0.0004035793998012344,0.00027842977081225025,322.8635198409875,-113.70633857161403,759.433378253589,3
gradient_boosting,dr_learner,response_model,5.0,40000,0.00033453486777898506,0.00027829502771676304,267.62789422318804,-168.7306908979572,703.9864793443334,4
gradient_boosting,r_learner,response_model,5.0,40000,0.00017096894251819733,0.00027476040107132056,136.77515401455787,-294.041238367497,567.5915463966128,5
gradient_boosting,t_learner,response_model,5.0,40000,4.8581146349363354e-05,0.0002854528526689376,38.86491707949068,-408.71693133277796,486.4467654917592,6
gradient_boosting,cvt,response_model,5.0,40000,-0.0006027238474175686,0.00027029102064609224,-482.1790779340549,-905.9876105827851,-58.37054528532465,7
linear,t_learner,response_model,5.0,40000,0.0010306854308234023,0.0002791289321663339,824.5483446587218,386.8822213874114,1262.2144679300322,1
linear,r_learner,response_model,5.0,40000,0.0006095479100775371,0.0002678959577580754,487.6383280620297,67.58518501427659,907.6914711097828,2
linear,dr_learner,response_model,5.0,40000,0.0005858307029197629,0.00026793966760856275,468.66456233581033,48.54288350187742,888.7862411697433,3
linear,x_learner,response_model,5.0,40000,0.0005632620311281501,0.00026758947435888186,450.60962490252007,31.037038994189988,870.1822108108503,4
linear,transformed_outcome,response_model,5.0,40000,0.00036446556210561695,0.0002699687964590046,291.57244968449356,-131.73084472292507,714.8757440919122,5
linear,s_learner,response_model,5.0,40000,-0.0003286772063949242,0.00020156203284832662,-262.94176511593935,-578.9852251426588,53.101694910780154,6
linear,cvt,response_model,5.0,40000,-0.0006366964222028548,0.00023515128595792668,-509.3571377622838,-878.0675788789362,-140.6466966456314,7
forest,x_learner,response_model,5.0,40000,0.0006977014620315456,0.00028117130526089375,558.1611696252365,117.29266418726127,999.0296750632118,1
forest,transformed_outcome,response_model,5.0,40000,0.0004850911113828378,0.000260732704831855,388.0728891062702,-20.748479743448343,796.8942579559888,2
forest,s_learner,response_model,5.0,40000,0.00030797751434622015,0.0002636487079027018,246.38201147697612,-167.0115661708768,659.775589124829,3
forest,dr_learner,response_model,5.0,40000,0.00020589280062633641,0.000278285281121842,164.71424050106913,-271.6290622400623,601.0575432422006,4
forest,r_learner,response_model,5.0,40000,0.00014101065316725865,0.0002716229687009036,112.80852253380692,-313.0884662882901,538.7055113559039,5
forest,t_learner,response_model,5.0,40000,9.294642048335564e-05,0.0002595286992899129,74.35713638668452,-332.57638646351955,481.29065923688853,6
forest,cvt,response_model,5.0,40000,-0.0016718043453985353,0.00028043619915055245,-1337.4434763188283,-1777.1593565559363,-897.7275960817203,7
