policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
random_targeting,5.0,80000,3.721866559169525e-05,2.475444197121467e-05,-1.1299149129272192e-05,8.57364803126627e-05,59.549864946712404,-18.078638606835508,137.17836850026032
random_targeting,10.0,160000,5.626466984018574e-05,3.4383871649044913e-05,-1.1126480240990104e-05,0.0001236558199213616,90.02347174429718,-17.802368385584167,197.84931187417854
random_targeting,20.0,320000,0.00018891165525811125,4.717851687742626e-05,9.644346133434071e-05,0.00028137984918188177,302.258648412978,154.30953813494514,450.20775869101084
random_targeting,30.0,480000,0.0003224389134712919,5.784305253418255e-05,0.00020906861374843583,0.000435809213194148,515.9022615540671,334.5097819974973,697.2947411106368
response_model,5.0,80000,0.00076675730358712,9.105075147931712e-05,0.0005883011099223514,0.0009452134972518886,1226.811685739392,941.2817758757623,1512.3415956030217
response_model,10.0,160000,0.0008924101001838779,9.612197846082463e-05,0.0007040144842779268,0.001080805716089829,1427.8561602942045,1126.4231748446828,1729.2891457437263
response_model,20.0,320000,0.0009752952402747472,0.0001003455892182929,0.0007786214993994423,0.001171968981150052,1560.4723844395955,1245.7943990391077,1875.1503698400834
response_model,30.0,480000,0.0009781797832023183,0.0001018945500600265,0.0007784701348637528,0.0011778894315408839,1565.0876531237093,1245.5522157820046,1884.6230904654142
undersampled_t_lr_k1,5.0,80000,0.0007825355161052448,8.738118311330955e-05,0.0006112715442766586,0.000953799487933831,1252.0568257683917,978.0344708426538,1526.0791806941295
undersampled_t_lr_k1,10.0,160000,0.0008403118930543405,9.330243719570379e-05,0.0006574424764809508,0.0010231813096277303,1344.4990288869449,1051.9079623695213,1637.0900954043684
undersampled_t_lr_k1,20.0,320000,0.0008884528904252603,9.765454386762562e-05,0.0006970535015180273,0.0010798522793324932,1421.5246246804165,1115.2856024288437,1727.7636469319891
undersampled_t_lr_k1,30.0,480000,0.0009112768631887595,9.913000420881748e-05,0.0007169856251521734,0.0011055681012253457,1458.0429811020153,1147.1770002434773,1768.9089619605531
undersampled_cvt_lr_k1,5.0,80000,0.0002350694470554386,5.8020749286187895e-05,0.0001213508680984823,0.00034878802601239487,376.11111528870174,194.16138895757166,558.0608416198318
undersampled_cvt_lr_k1,10.0,160000,0.00022926865308552715,5.975252144712368e-05,0.0001121558630637076,0.0003463814431073467,366.8298449368434,179.44938090193216,554.2103089717547
undersampled_cvt_lr_k1,20.0,320000,0.00026393774839711143,6.341445739164188e-05,0.00013964769581034355,0.0003882278009838793,422.3003974353783,223.43631329654968,621.1644815742069
undersampled_cvt_lr_k1,30.0,480000,0.00035368064664328367,6.685044546209414e-05,0.00022265618118712008,0.0004847051120994472,565.8890346292538,356.24988989939214,775.5281793591156
undersampled_t_lr_k5,5.0,80000,0.0007689953053791358,8.919492025239192e-05,0.0005941764740805253,0.0009438141366777462,1230.3924886066172,950.6823585288406,1510.102618684394
undersampled_t_lr_k5,10.0,160000,0.0008303316173527146,9.494345733795535e-05,0.0006442458604026071,0.0010164173743028222,1328.5305877643434,1030.7933766441713,1626.2677988845155
undersampled_t_lr_k5,20.0,320000,0.0009095350441587868,9.90318246433313e-05,0.0007154362345345713,0.0011036338537830023,1455.256070654059,1144.697975255314,1765.8141660528038
