policy,budget_pct,n_targeted,true_incremental_outcome,oracle_incremental_outcome,policy_regret,oracle_value_fraction
random_targeting,5.0,2000,29.785533623947302,61.60854076390846,31.823007139961156,0.4834643582630718
response_model,5.0,2000,40.122763022822525,61.60854076390846,21.485777741085933,0.6512532601052492
s_learner,5.0,2000,46.03891712792399,61.60854076390846,15.56962363598447,0.7472814086662238
t_learner,5.0,2000,43.5440519068502,61.60854076390846,18.064488857058258,0.7067859645258664
x_learner,5.0,2000,44.8548822888926,61.60854076390846,16.75365847501586,0.7280627285230151
cvt,5.0,2000,42.64350274269556,61.60854076390846,18.965038021212898,0.6921686865804976
transformed_outcome,5.0,2000,54.075868506096384,61.60854076390846,7.532672257812074,0.8777333115764224
r_learner,5.0,2000,40.917211739969616,61.60854076390846,20.69132902393884,0.664148366973492
dr_learner,5.0,2000,41.866177130792934,61.60854076390846,19.742363633115524,0.6795515136647904
oracle,5.0,2000,61.60854076390846,61.60854076390846,0.0,1.0
random_targeting,10.0,4000,59.9871817275388,113.56797686634721,53.58079513880841,0.5282050749053572
response_model,10.0,4000,75.75539708328076,113.56797686634721,37.812579783066454,0.6670489267624596
s_learner,10.0,4000,92.05325006143457,113.56797686634721,21.51472680491264,0.8105563962785715
t_learner,10.0,4000,84.74841138115909,113.56797686634721,28.81956548518812,0.7462351071103036
x_learner,10.0,4000,87.2193965878273,113.56797686634721,26.348580278519904,0.7679928708289987
cvt,10.0,4000,83.15187517520813,113.56797686634721,30.416101691139076,0.7321771283560475
transformed_outcome,10.0,4000,104.6131316188878,113.56797686634721,8.954845247459403,0.9211499095559487
r_learner,10.0,4000,84.0558217186738,113.56797686634721,29.51215514767341,0.740136648005935
dr_learner,10.0,4000,84.12334437502813,113.56797686634721,29.444632491319084,0.7407312051884918
oracle,10.0,4000,113.56797686634721,113.56797686634721,0.0,1.0
random_targeting,20.0,8000,119.11657979794256,207.59783116423384,88.48125136629127,0.573785280558676
response_model,20.0,8000,146.93338151951065,207.59783116423384,60.66444964472319,0.7077789815793856
s_learner,20.0,8000,178.08380763447389,207.59783116423384,29.514023529759953,0.8578307713320427
t_learner,20.0,8000,163.1377275326702,207.59783116423384,44.46010363156364,0.7858354136831489
x_learner,20.0,8000,171.20957382255892,207.59783116423384,36.388257341674915,0.8247175457585219
cvt,20.0,8000,156.9963751742483,207.59783116423384,50.60145598998554,0.7562524824743764
transformed_outcome,20.0,8000,195.73658775319285,207.59783116423384,11.861243411040988,0.9428643192247159
r_learner,20.0,8000,165.8674831918539,207.59783116423384,41.730347972379946,0.7989846630942573
dr_learner,20.0,8000,164.68131139734106,207.59783116423384,42.916519766892776,0.793270866433374
oracle,20.0,8000,207.59783116423384,207.59783116423384,0.0,1.0
random_targeting,30.0,12000,178.97766814135957,287.46140775958645,108.48373961822688,0.6226145955948443
response_model,30.0,12000,219.50594314434727,287.46140775958645,67.95546461523918,0.7636014338590014
s_learner,30.0,12000,245.84173757427627,287.46140775958645,41.619670185310184,0.8552164949386246
t_learner,30.0,12000,229.94919329469835,287.46140775958645,57.5122144648881,0.7999306588208617
x_learner,30.0,12000,240.52503550714113,287.46140775958645,46.936372252445324,0.8367211354795153
cvt,30.0,12000,223.4546427800915,287.46140775958645,64.00676497949496,0.7773378851848317
transformed_outcome,30.0,12000,274.45022443630467,287.46140775958645,13.011183323281784,0.9547376344369556
r_learner,30.0,12000,235.27665451292617,287.46140775958645,52.18475324666028,0.8184634464383332
dr_learner,30.0,12000,233.32850826125417,287.46140775958645,54.13289949833228,0.8116863758504744
oracle,30.0,12000,287.46140775958645,287.46140775958645,0.0,1.0
