policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
response_model,5.0,40000,0.003499323584051219,0.0003210042368807866,0.0028701668408801133,0.004128480327222325,2799.4588672409755,2296.1334727040908,3302.78426177786
response_model,10.0,80000,0.00595687702722659,0.00041530754017175304,0.005142889205982033,0.006770864848471147,4765.501621781272,4114.311364785626,5416.691878776918
response_model,20.0,160000,0.007470614681514453,0.0004781959113918766,0.0065333679176320675,0.008407861445396838,5976.491745211562,5226.694334105654,6726.289156317471
response_model,30.0,240000,0.007908499735974102,0.0004954498899559416,0.006937435795516124,0.00887956367643208,6326.799788779282,5549.948636412899,7103.650941145665
s_learner,5.0,40000,0.004750694683500775,0.00027214621883761206,0.004217297896050299,0.0052840914709512505,3800.55574680062,3373.8383168402393,4227.273176761
s_learner,10.0,80000,0.006016303932398316,0.0003817454237849288,0.0052680966505168755,0.006764511214279757,4813.043145918653,4214.477320413501,5411.608971423806
s_learner,20.0,160000,0.007509034546454241,0.00046160452829893054,0.006604306295887737,0.008413762797020745,6007.2276371633925,5283.44503671019,6731.010237616596
s_learner,30.0,240000,0.007677325804720792,0.00048182239619871383,0.006732971261226525,0.00862168034821506,6141.860643776634,5386.37700898122,6897.344278572048
t_learner,5.0,40000,0.004266669389354883,0.0002724170174424587,0.0037327418463918446,0.0048005969323179215,3413.3355114839064,2986.1934771134756,3840.477545854337
t_learner,10.0,80000,0.005575354787882434,0.00035393457719273537,0.0048816557637012615,0.006269053812063607,4460.283830305947,3905.324610961009,5015.243049650885
t_learner,20.0,160000,0.006654107876360126,0.00040883424832861674,0.005852807473989533,0.007455408278730719,5323.286301088101,4682.245979191626,5964.326622984576
t_learner,30.0,240000,0.006672385598593566,0.0004255515258162382,0.005838319934427672,0.007506451262759459,5337.908478874852,4670.655947542138,6005.161010207567
x_learner,5.0,40000,0.003931909566411427,0.0002711149230020091,0.0034005340816561395,0.004463285051166715,3145.527653129142,2720.427265324912,3570.628040933372
x_learner,10.0,80000,0.0057208897198184555,0.000347471048369173,0.005039858979344502,0.006401920460292409,4576.711775854765,4031.8871834756014,5121.5363682339275
x_learner,20.0,160000,0.006651602327963401,0.00041820913781098865,0.005831927479848315,0.007471277176078486,5321.281862370721,4665.541983878652,5977.021740862789
x_learner,30.0,240000,0.006906223460126065,0.0004382500043802382,0.006047269235316278,0.007765177684935853,5524.978768100852,4837.815388253022,6212.142147948683
cvt,5.0,40000,0.0018341930982567476,0.0001883272699403503,0.0014650784318669084,0.0022033077646465868,1467.354478605398,1172.0627454935268,1762.6462117172694
cvt,10.0,80000,0.002305813386748026,0.00022474295241369915,0.0018653252942379764,0.002746301479258075,1844.6507093984208,1492.260235390381,2197.0411834064603
cvt,20.0,160000,0.0029984573217290687,0.0002846604242681056,0.0024405331423396903,0.003556381501118447,2398.765857383255,1952.4265138717521,2845.1052008947577
cvt,30.0,240000,0.00365305136930504,0.00034415981285784546,0.002978510531177618,0.004327592207432462,2922.4410954440323,2382.8084249420945,3462.073765945969
transformed_outcome,5.0,40000,0.004181440584321857,0.0002660832124207883,0.0036599270710863914,0.004702954097557323,3345.1524674574857,2927.941656869113,3762.3632780458584
transformed_outcome,10.0,80000,0.006032141816843902,0.00035885813395848876,0.005328792798726014,0.00673549083496179,4825.713453475121,4263.034238980811,5388.392667969432
transformed_outcome,20.0,160000,0.007508373128642233,0.0004448140064892688,0.0066365536961043,0.008380192561180165,6006.698502913786,5309.24295688344,6704.154048944131
transformed_outcome,30.0,240000,0.00788622456260832,0.00047572085287683497,0.006953828824275046,0.008818620300941594,6308.979650086656,5563.063059420037,7054.896240753275
r_learner,5.0,40000,0.003817957548591989,0.0002700708566519132,0.0032886283962803593,0.004347286700903619,3054.366038873591,2630.9027170242875,3477.8293607228948
r_learner,10.0,80000,0.005458949984081897,0.0003499291420310995,0.004773101468559941,0.006144798499603853,4367.159987265518,3818.481174847953,4915.8387996830825
r_learner,20.0,160000,0.006664409908277886,0.00042403521885754565,0.005833316151140537,0.007495503665415235,5331.527926622309,4666.652920912429,5996.402932332187
r_learner,30.0,240000,0.006860871177577946,0.0004477751159058691,0.005983248077229195,0.0077384942779266976,5488.696942062357,4786.5984617833565,6190.795422341358
dr_learner,5.0,40000,0.004080656858048851,0.0002665940451762932,0.0035581421310104723,0.00460317158508723,3264.525486439081,2846.513704808378,3682.537268069784
dr_learner,10.0,80000,0.005297422254074489,0.0003517617615297516,0.004607981870337809,0.005986862637811169,4237.937803259591,3686.3854962702476,4789.490110248936
dr_learner,20.0,160000,0.0065148546992778895,0.00042681752959356954,0.005678307713304135,0.007351401685251644,5211.883759422311,4542.646170643308,5881.121348201315
dr_learner,30.0,240000,0.006876429482791075,0.0004481950558246142,0.005997983315325912,0.007754875650256238,5501.14358623286,4798.3866522607295,6203.90052020499
