policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
response_model,5.0,80000,0.0007675415684048829,9.329207179977899e-05,0.0005846924676341913,0.0009503906691755745,1228.0665094478127,935.5079482147061,1520.6250706809192
response_model,10.0,160000,0.0008519901341943469,9.81908627204218e-05,0.0006595395796514036,0.0010444406887372903,1363.184214710955,1055.2633274422458,1671.1051019796644
response_model,20.0,320000,0.000932476045050977,0.00010195005561772936,0.0007326576078183721,0.0011322944822835818,1491.9616720815632,1172.2521725093952,1811.6711716537309
response_model,30.0,480000,0.0009515065790053915,0.0001038603830243466,0.0007479439688571369,0.001155069189153646,1522.4105264086263,1196.7103501714191,1848.1107026458335
undersampled_t_lr_k1,5.0,80000,0.0007008932114681608,9.026938774927165e-05,0.0005239684625731072,0.0008778179603632143,1121.4291383490572,838.3495401169715,1404.508736581143
undersampled_t_lr_k1,10.0,160000,0.0007735229996601845,9.566828287668477e-05,0.0005860166107590925,0.0009610293885612765,1237.6367994562952,937.626577214548,1537.6470216980424
undersampled_t_lr_k1,20.0,320000,0.0008356967808538042,9.956890985836589e-05,0.000640545303551492,0.0010308482581561163,1337.1148493660867,1024.8724856823872,1649.357213049786
undersampled_t_lr_k1,30.0,480000,0.0008671974186872004,0.00010108141614897637,0.0006690814835289014,0.0010653133538454994,1387.5158698995206,1070.5303736462422,1704.501366152799
undersampled_cvt_lr_k1,5.0,80000,0.00019476320937411386,5.9142342714382044e-05,7.884634769260023e-05,0.0003106800710556275,311.6211349985822,126.15415630816037,497.088113689004
undersampled_cvt_lr_k1,10.0,160000,0.00020842534190153116,6.0109205591710936e-05,9.061346380246412e-05,0.0003262372200005982,333.48054704244987,144.9815420839426,521.9795520009571
undersampled_cvt_lr_k1,20.0,320000,0.00024799220452560326,6.332055760790257e-05,0.00012388619213312053,0.000372098216918086,396.78752724096523,198.21790741299284,595.3571470689376
undersampled_cvt_lr_k1,30.0,480000,0.0002747177622494159,6.65965216801867e-05,0.0001441909782606091,0.00040524454623822265,439.5484195990654,230.70556521697455,648.3912739811562
undersampled_t_lr_k5,5.0,80000,0.0007452195976940777,9.145500333437927e-05,0.0005659710849527038,0.0009244681104354516,1192.3513563105244,905.5537359243261,1479.1489766967225
