policy,budget_pct,n_targeted,true_incremental_outcome,oracle_incremental_outcome,policy_regret,oracle_value_fraction
response_model,5.0,2000,39.82522138795434,61.60854076390846,21.783319375954115,0.6464237083713688
s_learner,5.0,2000,45.97387555597576,61.60854076390846,15.634665207932699,0.746225685366471
t_learner,5.0,2000,43.794201705023816,61.60854076390846,17.81433905888464,0.7108462749158206
x_learner,5.0,2000,44.99529411635458,61.60854076390846,16.61324664755388,0.7303418253125343
cvt,5.0,2000,42.57372522631884,61.60854076390846,19.034815537589616,0.6910360917241429
transformed_outcome,5.0,2000,54.075868506096384,61.60854076390846,7.532672257812074,0.8777333115764224
r_learner,5.0,2000,41.07924112988783,61.60854076390846,20.529299634020624,0.666778349568586
dr_learner,5.0,2000,40.82875751644833,61.60854076390846,20.77978324746013,0.6627126208508844
oracle,5.0,2000,61.60854076390846,61.60854076390846,0.0,1.0
response_model,10.0,4000,76.37836964105415,113.56797686634721,37.18960722529306,0.6725343864401163
s_learner,10.0,4000,91.67887519323841,113.56797686634721,21.889101673108797,0.8072599136033827
t_learner,10.0,4000,85.11109848653825,113.56797686634721,28.456878379808956,0.749428675538541
x_learner,10.0,4000,87.21752486643886,113.56797686634721,26.350451999908344,0.7679763897624157
cvt,10.0,4000,82.34207060950627,113.56797686634721,31.225906256840943,0.7250465569745137
transformed_outcome,10.0,4000,104.6131316188878,113.56797686634721,8.954845247459403,0.9211499095559487
r_learner,10.0,4000,84.09899428896853,113.56797686634721,29.468982577378682,0.7405167953985891
dr_learner,10.0,4000,82.81250936107605,113.56797686634721,30.755467505271156,0.7291889108717168
oracle,10.0,4000,113.56797686634721,113.56797686634721,0.0,1.0
response_model,20.0,8000,147.8693032141047,207.59783116423384,59.72852795012915,0.7122873220054163
s_learner,20.0,8000,174.66012426879502,207.59783116423384,32.93770689543882,0.8413388679895153
t_learner,20.0,8000,165.85413064791297,207.59783116423384,41.74370051632087,0.7989203438098696
x_learner,20.0,8000,171.53423526066857,207.59783116423384,36.06359590356527,0.8262814418565153
cvt,20.0,8000,156.53853337520115,207.59783116423384,51.059297789032684,0.7540470557775776
transformed_outcome,20.0,8000,195.73658775319285,207.59783116423384,11.861243411040988,0.9428643192247159
r_learner,20.0,8000,166.73538205961023,207.59783116423384,40.86244910462361,0.8031653371547186
dr_learner,20.0,8000,164.81897454424816,207.59783116423384,42.778856619985675,0.7939339906391283
oracle,20.0,8000,207.59783116423384,207.59783116423384,0.0,1.0
response_model,30.0,12000,218.69810722972662,287.46140775958645,68.76330052985983,0.760791192578557
s_learner,30.0,12000,245.62302285165023,287.46140775958645,41.83838490793622,0.8544556459456044
t_learner,30.0,12000,232.43580006385093,287.46140775958645,55.025607695735516,0.8085808869976896
x_learner,30.0,12000,241.43226606252398,287.46140775958645,46.02914169706247,0.8398771436632002
cvt,30.0,12000,225.59039398389558,287.46140775958645,61.87101377569087,0.7847675823412246
transformed_outcome,30.0,12000,274.45022443630467,287.46140775958645,13.011183323281784,0.9547376344369556
r_learner,30.0,12000,236.00915299799806,287.46140775958645,51.45225476158839,0.8210116093057624
dr_learner,30.0,12000,234.49886655795854,287.46140775958645,52.962541201627914,0.8157577338314497
oracle,30.0,12000,287.46140775958645,287.46140775958645,0.0,1.0
